,age,education,default,balance,housing,loan,month,duration,campaign,pdays,previous,poutcome,y
89,34.0,secondary,no,1831.0,yes,no,may,203.0,2.0,-1.0,0.0,unknown,no
90,39.0,primary,no,111.0,no,no,nov,201.0,2.0,-1.0,0.0,unknown,no
91,34.0,primary,no,455.0,yes,no,jun,372.0,3.0,-1.0,0.0,unknown,no
92,27.0,secondary,no,-195.0,yes,no,may,391.0,1.0,-1.0,0.0,unknown,yes
93,32.0,tertiary,no,3616.0,no,no,aug,165.0,2.0,-1.0,0.0,unknown,no
94,57.0,secondary,no,14093.0,no,no,aug,231.0,5.0,-1.0,0.0,unknown,no
95,41.0,tertiary,no,1567.0,no,no,jul,291.0,2.0,-1.0,0.0,unknown,no
96,41.0,tertiary,no,5426.0,yes,no,may,149.0,2.0,-1.0,0.0,unknown,no
97,30.0,tertiary,no,261.0,no,no,oct,233.0,1.0,137.0,20.0,failure,no
98,36.0,secondary,no,2843.0,no,no,feb,473.0,1.0,182.0,1.0,success,no
99,31.0,primary,no,406.0,no,no,feb,736.0,1.0,-1.0,0.0,unknown,yes
100,36.0,secondary,no,0.0,yes,no,may,337.0,1.0,-1.0,0.0,unknown,no
101,38.0,tertiary,no,493.0,yes,no,may,553.0,1.0,367.0,7.0,failure,no
102,49.0,secondary,no,5996.0,no,no,nov,345.0,2.0,-1.0,0.0,unknown,no
103,57.0,primary,no,3777.0,yes,no,may,65.0,2.0,-1.0,0.0,unknown,no
104,34.0,secondary,no,524.0,no,no,aug,9.0,1.0,-1.0,0.0,unknown,no
105,32.0,tertiary,no,574.0,yes,no,apr,259.0,2.0,145.0,3.0,failure,no
106,37.0,secondary,no,427.0,yes,yes,jun,371.0,3.0,-1.0,0.0,unknown,no
107,33.0,tertiary,no,483.0,yes,no,feb,280.0,2.0,-1.0,0.0,unknown,no
108,56.0,primary,no,3391.0,no,no,apr,243.0,1.0,-1.0,0.0,unknown,yes
109,27.0,primary,no,0.0,yes,no,jul,435.0,3.0,-1.0,0.0,unknown,no
110,21.0,secondary,no,2488.0,no,no,jun,258.0,6.0,169.0,3.0,success,yes
111,58.0,tertiary,no,1517.0,yes,no,jul,7.0,5.0,-1.0,0.0,unknown,no
112,32.0,secondary,no,217.0,yes,yes,jul,317.0,5.0,-1.0,0.0,unknown,no
113,33.0,secondary,no,22.0,no,no,jan,76.0,2.0,207.0,1.0,failure,
114,25.0,secondary,no,331.0,no,no,aug,170.0,4.0,-1.0,0.0,unknown,yes
115,25.0,secondary,no,505.0,no,yes,nov,386.0,2.0,-1.0,0.0,unknown,yes
116,30.0,secondary,no,1808.0,yes,no,may,83.0,2.0,-1.0,0.0,unknown,no
117,22.0,secondary,no,4111.0,no,yes,aug,65.0,1.0,-1.0,0.0,unknown,no
118,39.0,primary,no,52.0,no,no,aug,69.0,1.0,-1.0,0.0,unknown,no
119,46.0,tertiary,no,25.0,no,no,jun,564.0,2.0,-1.0,0.0,unknown,no
120,31.0,secondary,no,1890.0,yes,no,jul,588.0,1.0,-1.0,0.0,unknown,no
121,45.0,primary,no,419.0,no,no,aug,113.0,4.0,-1.0,0.0,unknown,no
122,32.0,secondary,no,2693.0,yes,no,may,16.0,1.0,-1.0,0.0,unknown,no
123,36.0,secondary,no,-231.0,no,yes,jul,779.0,2.0,-1.0,0.0,unknown,no
124,51.0,tertiary,yes,-55.0,yes,no,may,281.0,2.0,266.0,6.0,failure,no
125,34.0,tertiary,no,462.0,no,no,aug,1877.0,3.0,-1.0,0.0,unknown,yes
126,24.0,secondary,no,119.0,no,no,sep,51.0,1.0,-1.0,0.0,unknown,no
127,45.0,secondary,no,586.0,no,yes,jul,32.0,3.0,-1.0,0.0,unknown,no
128,32.0,secondary,no,228.0,no,no,feb,176.0,1.0,288.0,3.0,failure,no
129,77.0,tertiary,no,4659.0,no,no,apr,161.0,1.0,-1.0,0.0,unknown,yes
130,41.0,primary,no,168.0,yes,no,nov,187.0,3.0,-1.0,0.0,unknown,no
131,37.0,primary,no,0.0,yes,no,may,24.0,1.0,-1.0,0.0,unknown,no
132,43.0,unknown,yes,-715.0,yes,no,may,67.0,3.0,-1.0,0.0,unknown,no
133,48.0,unknown,no,0.0,yes,no,may,85.0,1.0,168.0,2.0,failure,no
134,27.0,secondary,no,769.0,yes,no,may,317.0,2.0,-1.0,0.0,unknown,no
135,33.0,tertiary,no,0.0,no,no,aug,236.0,10.0,-1.0,0.0,unknown,no
136,29.0,secondary,no,428.0,yes,yes,may,54.0,1.0,345.0,2.0,failure,no
137,34.0,tertiary,no,0.0,no,no,feb,71.0,1.0,-1.0,0.0,unknown,no
138,52.0,tertiary,no,-970.0,yes,no,feb,489.0,1.0,-1.0,0.0,unknown,yes
139,60.0,unknown,no,6313.0,no,no,jun,39.0,2.0,-1.0,0.0,unknown,no
140,32.0,tertiary,no,948.0,no,no,aug,204.0,2.0,-1.0,0.0,unknown,no
141,32.0,tertiary,no,0.0,yes,no,jul,455.0,2.0,-1.0,0.0,unknown,no
142,56.0,unknown,no,1877.0,yes,no,may,86.0,1.0,-1.0,0.0,unknown,no
143,31.0,tertiary,no,874.0,yes,no,nov,190.0,2.0,-1.0,0.0,unknown,no
144,42.0,secondary,no,323.0,yes,yes,may,280.0,2.0,-1.0,0.0,unknown,no
145,35.0,tertiary,no,106.0,no,yes,aug,588.0,2.0,-1.0,0.0,unknown,no
146,56.0,primary,no,1906.0,no,yes,jun,45.0,9.0,-1.0,0.0,unknown,no
147,48.0,secondary,no,1152.0,yes,no,jul,168.0,5.0,-1.0,0.0,unknown,no
148,46.0,secondary,no,179.0,yes,no,jan,194.0,4.0,436.0,,other,no
149,37.0,unknown,no,391.0,yes,no,may,103.0,3.0,-1.0,0.0,unknown,no
150,41.0,unknown,no,89.0,yes,no,may,333.0,2.0,-1.0,0.0,unknown,no
151,36.0,tertiary,no,442.0,yes,yes,jul,102.0,3.0,-1.0,0.0,unknown,no
152,45.0,primary,yes,-249.0,yes,yes,jul,92.0,1.0,-1.0,0.0,unknown,no
153,55.0,secondary,no,8104.0,no,no,feb,213.0,2.0,-1.0,0.0,unknown,no
154,39.0,secondary,no,501.0,no,no,may,289.0,1.0,-1.0,0.0,unknown,no
155,35.0,secondary,no,308.0,no,no,aug,77.0,2.0,-1.0,0.0,unknown,no
156,55.0,secondary,no,602.0,no,no,jun,324.0,3.0,90.0,2.0,success,yes
157,55.0,secondary,no,273.0,yes,no,jan,84.0,3.0,183.0,3.0,failure,no
158,27.0,secondary,no,50.0,no,no,jan,168.0,1.0,-1.0,0.0,unknown,no
159,34.0,secondary,no,1641.0,yes,no,apr,380.0,1.0,-1.0,0.0,unknown,no
160,34.0,tertiary,no,20.0,no,no,oct,10.0,1.0,-1.0,0.0,unknown,no
161,25.0,secondary,no,4590.0,yes,no,may,199.0,2.0,-1.0,0.0,unknown,no
162,41.0,secondary,no,-256.0,no,yes,may,35.0,3.0,-1.0,0.0,unknown,no
163,43.0,secondary,no,978.0,yes,yes,may,82.0,2.0,-1.0,0.0,unknown,no
164,28.0,tertiary,no,80.0,no,no,oct,676.0,2.0,146.0,2.0,failure,yes
165,31.0,secondary,no,2104.0,yes,no,jun,455.0,1.0,-1.0,0.0,unknown,no
166,78.0,secondary,no,499.0,no,no,mar,80.0,4.0,-1.0,0.0,unknown,no
167,45.0,secondary,no,1269.0,yes,no,jan,549.0,2.0,-1.0,0.0,unknown,no
168,48.0,tertiary,no,310.0,no,no,may,135.0,1.0,-1.0,0.0,unknown,no
169,32.0,secondary,no,1143.0,yes,yes,jul,412.0,1.0,-1.0,0.0,unknown,no
170,42.0,secondary,no,2980.0,no,no,jun,101.0,3.0,-1.0,0.0,unknown,no
171,37.0,tertiary,no,37.0,no,no,jan,253.0,2.0,-1.0,0.0,unknown,no
172,40.0,secondary,no,462.0,yes,yes,apr,272.0,1.0,335.0,4.0,other,no
173,32.0,secondary,no,1031.0,yes,no,jul,84.0,1.0,-1.0,0.0,unknown,no
174,42.0,tertiary,no,9009.0,no,no,nov,135.0,2.0,-1.0,0.0,unknown,no
175,43.0,secondary,no,-465.0,yes,yes,jul,166.0,1.0,-1.0,0.0,unknown,no
176,44.0,secondary,no,5181.0,yes,yes,jul,18.0,7.0,-1.0,0.0,unknown,no
177,37.0,secondary,no,176.0,yes,no,may,147.0,2.0,347.0,1.0,failure,no
178,37.0,unknown,no,1699.0,no,no,jun,63.0,1.0,-1.0,0.0,unknown,no
179,37.0,tertiary,no,0.0,yes,no,nov,65.0,2.0,119.0,1.0,failure,no
180,28.0,tertiary,no,172.0,yes,yes,feb,194.0,2.0,-1.0,0.0,unknown,no
181,32.0,secondary,no,0.0,no,yes,jul,333.0,2.0,-1.0,0.0,unknown,no
182,34.0,secondary,no,6979.0,yes,no,may,14.0,5.0,-1.0,0.0,unknown,no
183,40.0,secondary,no,6.0,no,no,jun,140.0,1.0,-1.0,0.0,unknown,no
184,34.0,secondary,no,-62.0,yes,no,jun,109.0,3.0,-1.0,0.0,unknown,no
185,34.0,tertiary,no,1972.0,yes,no,jul,61.0,2.0,-1.0,0.0,unknown,no
186,34.0,tertiary,no,899.0,yes,no,nov,377.0,3.0,7.0,4.0,success,no
187,37.0,secondary,no,21.0,yes,no,feb,96.0,1.0,271.0,2.0,other,no
188,36.0,secondary,no,23.0,yes,no,may,152.0,2.0,347.0,1.0,failure,no
189,56.0,secondary,no,-1206.0,yes,no,jun,382.0,2.0,-1.0,0.0,unknown,yes
190,49.0,primary,no,0.0,yes,yes,jul,97.0,6.0,-1.0,0.0,unknown,no
191,33.0,secondary,no,215.0,yes,no,jul,543.0,12.0,-1.0,0.0,unknown,no
192,30.0,tertiary,no,1372.0,no,no,nov,240.0,2.0,-1.0,0.0,unknown,no
193,36.0,secondary,no,1981.0,no,no,jun,48.0,2.0,-1.0,0.0,unknown,no
194,23.0,secondary,no,9216.0,no,no,jun,471.0,2.0,-1.0,0.0,unknown,no
195,57.0,secondary,no,39.0,yes,no,jul,354.0,3.0,-1.0,0.0,unknown,no
196,27.0,secondary,no,5563.0,yes,no,may,435.0,2.0,-1.0,0.0,unknown,no
197,38.0,secondary,no,1.0,no,yes,nov,152.0,2.0,-1.0,0.0,unknown,no
198,42.0,tertiary,no,782.0,no,no,apr,285.0,1.0,-1.0,0.0,unknown,no
199,75.0,secondary,no,3771.0,no,no,apr,185.0,1.0,181.0,2.0,success,yes
200,34.0,tertiary,no,992.0,yes,no,may,301.0,1.0,88.0,2.0,success,no
201,48.0,secondary,no,1526.0,no,no,aug,273.0,2.0,-1.0,0.0,unknown,no
202,35.0,tertiary,no,2658.0,yes,no,aug,768.0,2.0,141.0,3.0,failure,yes
203,39.0,tertiary,no,1315.0,yes,no,nov,1337.0,4.0,126.0,1.0,failure,no
204,29.0,tertiary,no,455.0,no,no,apr,403.0,1.0,-1.0,0.0,unknown,yes
205,45.0,tertiary,no,0.0,yes,no,nov,139.0,2.0,-1.0,0.0,unknown,no
206,42.0,secondary,no,2030.0,yes,yes,jul,196.0,1.0,-1.0,0.0,unknown,no
207,29.0,secondary,no,1599.0,yes,no,jul,115.0,1.0,61.0,1.0,failure,no
208,38.0,secondary,no,-196.0,yes,no,feb,60.0,1.0,271.0,1.0,failure,no
209,56.0,secondary,no,1333.0,no,no,aug,17.0,14.0,-1.0,0.0,unknown,no
210,36.0,secondary,no,9149.0,yes,no,aug,141.0,3.0,-1.0,0.0,unknown,no
211,25.0,secondary,no,-350.0,yes,no,jun,95.0,3.0,-1.0,0.0,unknown,no
212,38.0,tertiary,no,432.0,yes,no,may,10.0,2.0,373.0,1.0,other,no
213,57.0,secondary,no,11494.0,no,no,nov,198.0,1.0,-1.0,0.0,unknown,no
214,31.0,tertiary,yes,-253.0,no,no,aug,220.0,4.0,-1.0,0.0,unknown,no
215,42.0,tertiary,no,372.0,yes,no,aug,654.0,2.0,-1.0,0.0,unknown,yes
216,45.0,secondary,no,1410.0,no,no,aug,71.0,2.0,-1.0,0.0,unknown,no
217,30.0,secondary,no,975.0,yes,no,may,256.0,2.0,351.0,2.0,failure,no
218,49.0,primary,no,305.0,yes,yes,jul,834.0,10.0,-1.0,0.0,unknown,no
219,49.0,secondary,no,400.0,no,no,aug,151.0,3.0,-1.0,0.0,unknown,no
220,53.0,tertiary,no,-22.0,yes,no,jul,20.0,3.0,-1.0,0.0,unknown,no
221,37.0,secondary,no,4030.0,yes,no,may,178.0,5.0,-1.0,0.0,unknown,no
222,49.0,primary,no,365.0,no,no,may,59.0,2.0,-1.0,0.0,unknown,no
223,41.0,primary,no,204.0,no,no,aug,111.0,7.0,-1.0,0.0,unknown,no
224,54.0,primary,no,1691.0,yes,no,nov,186.0,1.0,-1.0,0.0,unknown,no
225,32.0,secondary,no,406.0,yes,no,may,227.0,1.0,-1.0,0.0,unknown,no
226,33.0,secondary,no,-204.0,no,no,may,297.0,3.0,-1.0,0.0,unknown,no
227,33.0,secondary,no,359.0,yes,no,apr,210.0,1.0,242.0,1.0,other,no
228,36.0,primary,no,123.0,yes,no,may,9.0,1.0,-1.0,0.0,unknown,no
229,35.0,tertiary,no,0.0,yes,yes,sep,112.0,1.0,62.0,6.0,other,no
230,52.0,secondary,no,142.0,no,no,aug,112.0,6.0,-1.0,0.0,unknown,no
231,40.0,tertiary,no,3571.0,no,no,jun,222.0,3.0,-1.0,0.0,unknown,no
232,44.0,secondary,no,33.0,yes,no,may,195.0,3.0,351.0,10.0,failure,no
233,45.0,secondary,no,0.0,yes,no,jul,768.0,2.0,91.0,5.0,success,no
234,30.0,secondary,no,3096.0,no,no,jan,123.0,1.0,-1.0,0.0,unknown,no
235,48.0,secondary,yes,20.0,no,no,aug,145.0,3.0,-1.0,0.0,unknown,no
236,33.0,secondary,no,3576.0,yes,no,apr,124.0,1.0,308.0,2.0,other,no
237,57.0,unknown,no,206.0,yes,no,may,216.0,3.0,-1.0,0.0,unknown,no
238,57.0,primary,no,7082.0,no,no,jun,69.0,3.0,-1.0,0.0,unknown,no
239,51.0,tertiary,no,1634.0,yes,no,jul,168.0,4.0,-1.0,0.0,unknown,no
240,34.0,secondary,no,1.0,yes,no,jul,483.0,7.0,-1.0,0.0,unknown,no
241,50.0,tertiary,no,4012.0,no,no,nov,690.0,3.0,-1.0,0.0,unknown,no
242,44.0,tertiary,no,3762.0,no,no,aug,125.0,12.0,-1.0,0.0,unknown,no
243,27.0,secondary,no,-247.0,yes,yes,jun,344.0,2.0,-1.0,0.0,unknown,no
244,50.0,secondary,no,606.0,yes,no,may,673.0,2.0,-1.0,0.0,unknown,no
245,36.0,tertiary,no,0.0,yes,no,jan,60.0,1.0,250.0,1.0,other,no
246,42.0,secondary,no,-189.0,yes,no,may,247.0,2.0,-1.0,0.0,unknown,no
247,32.0,secondary,no,0.0,no,no,may,123.0,2.0,-1.0,0.0,unknown,no
248,42.0,tertiary,no,484.0,yes,no,jul,144.0,2.0,-1.0,0.0,unknown,no
249,43.0,secondary,no,0.0,no,yes,may,9.0,2.0,172.0,5.0,failure,no
250,31.0,tertiary,no,395.0,yes,no,feb,155.0,3.0,-1.0,0.0,unknown,no
251,32.0,tertiary,no,2349.0,no,no,aug,134.0,5.0,-1.0,0.0,unknown,no
252,55.0,primary,no,410.0,no,yes,jul,221.0,2.0,-1.0,0.0,unknown,no
253,58.0,primary,no,3401.0,yes,no,feb,84.0,3.0,265.0,2.0,failure,no
254,46.0,primary,no,222.0,no,no,aug,71.0,2.0,-1.0,0.0,unknown,no
255,55.0,secondary,no,989.0,yes,yes,may,246.0,4.0,-1.0,0.0,unknown,no
256,34.0,tertiary,no,415.0,no,yes,jul,361.0,2.0,-1.0,0.0,unknown,no
257,28.0,secondary,no,16.0,no,no,aug,119.0,4.0,-1.0,0.0,unknown,no
258,42.0,tertiary,no,7190.0,yes,no,jul,375.0,2.0,-1.0,0.0,unknown,no
259,29.0,secondary,no,482.0,no,yes,jul,1097.0,3.0,-1.0,0.0,unknown,yes
260,54.0,secondary,no,209.0,yes,yes,jul,97.0,1.0,-1.0,0.0,unknown,no
261,32.0,secondary,no,0.0,no,no,aug,181.0,2.0,-1.0,0.0,unknown,no
262,39.0,tertiary,no,5803.0,no,no,feb,83.0,3.0,-1.0,0.0,unknown,no
263,53.0,tertiary,no,624.0,no,yes,jul,180.0,4.0,-1.0,0.0,unknown,no
264,58.0,tertiary,no,883.0,no,no,aug,543.0,1.0,78.0,2.0,failure,no
265,40.0,secondary,no,1516.0,yes,yes,may,373.0,1.0,-1.0,0.0,unknown,no
266,29.0,secondary,no,872.0,yes,no,may,230.0,1.0,-1.0,0.0,unknown,no
267,33.0,tertiary,no,-988.0,yes,yes,jul,83.0,3.0,-1.0,0.0,unknown,no
268,38.0,secondary,no,902.0,yes,no,jul,58.0,13.0,-1.0,0.0,unknown,no
269,56.0,secondary,no,1007.0,no,no,jul,88.0,6.0,-1.0,0.0,unknown,no
270,40.0,secondary,no,0.0,yes,no,jun,297.0,1.0,28.0,3.0,failure,no
271,24.0,secondary,no,174.0,yes,yes,may,487.0,1.0,-1.0,0.0,unknown,yes
272,46.0,secondary,no,12186.0,no,no,jun,29.0,3.0,-1.0,0.0,unknown,no
273,35.0,secondary,no,524.0,yes,no,nov,484.0,4.0,-1.0,0.0,unknown,no
274,35.0,tertiary,no,0.0,yes,no,jul,262.0,4.0,-1.0,0.0,unknown,no
275,34.0,secondary,no,4.0,yes,no,may,644.0,1.0,-1.0,0.0,unknown,no
276,35.0,tertiary,no,11219.0,no,no,aug,699.0,2.0,79.0,1.0,failure,no
277,38.0,tertiary,no,0.0,no,no,aug,247.0,2.0,-1.0,0.0,unknown,no
278,50.0,primary,no,5776.0,no,no,nov,49.0,3.0,-1.0,0.0,unknown,no
279,51.0,primary,no,37.0,yes,no,may,341.0,1.0,-1.0,0.0,unknown,no
280,59.0,tertiary,no,593.0,no,no,may,64.0,2.0,-1.0,0.0,unknown,no
281,32.0,secondary,no,1148.0,yes,no,apr,121.0,1.0,-1.0,0.0,unknown,no
282,37.0,secondary,no,3561.0,yes,no,jun,98.0,1.0,-1.0,0.0,unknown,no
283,42.0,secondary,no,63.0,no,no,may,88.0,6.0,-1.0,0.0,unknown,no
284,40.0,secondary,no,260.0,no,no,jun,197.0,6.0,-1.0,0.0,unknown,no
285,28.0,tertiary,no,2269.0,yes,no,may,331.0,1.0,-1.0,0.0,unknown,no
286,47.0,secondary,no,1060.0,yes,no,jun,83.0,3.0,-1.0,0.0,unknown,no
287,27.0,secondary,no,-220.0,yes,no,may,138.0,2.0,-1.0,0.0,unknown,no
288,41.0,tertiary,no,49.0,yes,no,jul,312.0,5.0,-1.0,0.0,unknown,no
289,34.0,tertiary,no,69.0,no,yes,aug,120.0,3.0,1.0,6.0,success,yes
290,50.0,primary,no,4108.0,yes,no,aug,526.0,2.0,-1.0,0.0,unknown,yes
291,47.0,secondary,no,480.0,yes,no,may,211.0,2.0,-1.0,0.0,unknown,no
292,53.0,secondary,no,4994.0,no,no,aug,62.0,6.0,-1.0,0.0,unknown,no
293,53.0,secondary,no,0.0,yes,yes,jul,135.0,5.0,-1.0,0.0,unknown,no
294,47.0,tertiary,no,3681.0,no,no,aug,101.0,2.0,-1.0,0.0,unknown,no
295,49.0,unknown,yes,-701.0,yes,no,jul,988.0,2.0,-1.0,0.0,unknown,yes
296,29.0,tertiary,no,451.0,no,no,jan,451.0,1.0,-1.0,0.0,unknown,no
